City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,quatre cocos,-20.2078,57.7625,22.27,80,26,6.23,MU,1693101029
172,chonchi,-42.6128,-73.8092,7.56,95,57,1.98,CL,1693101029
173,vorkuta,67.5,64.0,4.39,98,100,5.76,RU,1693101030
174,kyabe,9.4515,18.9449,21.38,92,100,1.6,TD,1693101030
175,shitanjing,39.2342,106.3439,19.13,47,0,3.22,CN,1693101031
176,hilo,19.7297,-155.09,26.85,79,40,5.66,US,1693101032
177,kota tinggi,1.7381,103.8999,31.3,75,81,1.34,MY,1693101032
178,estes park,40.3772,-105.5217,17.92,92,43,2.68,US,1693100861
179,hanceville,34.0607,-86.7675,30.11,62,15,1.52,US,1693101033
180,olonkinbyen,70.9221,-8.7187,6.65,95,92,8.8,SJ,1693101033
181,mary,37.0,62.5,20.93,70,31,3.58,TM,1693101034
182,luruaco,10.6092,-75.1431,24.79,88,98,2.77,CO,1693101034
183,salinopolis,-0.6136,-47.3561,26.56,82,6,4.78,BR,1693101035
184,ad dilam,23.9915,47.1627,31.23,16,100,1.5,SA,1693101035
185,margaret river,-33.95,115.0667,15.86,76,100,1.59,AU,1693101036
186,geraldton,-28.7667,114.6,19.23,63,0,3.09,AU,1693101036
187,uyar,55.81,94.3153,13.81,90,100,3.52,RU,1693101037
188,tarasovskiy,48.7292,40.3636,15.51,48,3,2.45,RU,1693101038
189,three points,32.0767,-111.3137,38.09,20,0,2.06,US,1693101040
190,callao,-12.0667,-77.15,21.16,73,100,4.63,PE,1693101040
191,monze,-16.2833,27.4833,20.17,28,0,3.14,ZM,1693101041
192,port lincoln,-34.7333,135.8667,13.78,63,7,4.25,AU,1693101041
193,east london,-33.0153,27.9116,13.54,61,76,7.39,ZA,1693100751
194,semirom,31.4167,51.5667,16.38,28,0,0.14,IR,1693100940
195,tura,25.5198,90.2201,23.47,99,100,2.02,IN,1693101043
196,utrik,11.2278,169.8474,28.24,78,78,7.05,MH,1693101043
197,sitka,57.0531,-135.33,19.94,68,20,5.66,US,1693101044
198,sechura,-5.5569,-80.8222,20.85,76,0,6.62,PE,1693101044
199,college,64.8569,-147.8028,20.97,64,75,4.12,US,1693101045
200,fort bragg,35.139,-79.006,29.32,71,20,3.6,US,1693101045
201,tabou,4.423,-7.3528,24.41,90,88,3.66,CI,1693101046
202,itoman,26.1247,127.6694,32.43,74,20,3.09,JP,1693101046
203,ouesso,1.6136,16.0517,20.98,91,96,0.63,CG,1693101047
